| **Services** | **Task** | **Details** | **KPI** | **Tools Used** | **Notes** | **Expected Output** | **Gambaran Output** |
|--------------|----------|-------------|---------|---------------|-----------|---------------------|---------------------|
| **1. Unified CRM Integration** | Hubungkan & sinkronkan data dari e-commerce, POS, social, landing-page | • ETL via Segment → data warehouse <br>• De-dup mid-layer (e-mail, phone) <br>• Near-real-time (≤ 15 min) | • Sync success ≥ 99 % <br>• Dupes ≤ 2 % | Segment, Airbyte, Salesforce/HubSpot API, AWS Glue | Field-mapping diambil dari Modul 1 persona schema | *Integration Map* + log sukses/error (CSV) | Diagram arsitektur & tabel mapping field |
| **2. AI Virtual Sales & Support Assistant** | Chat/Voice bot 24 × 7 di WA, IG DM, Web | • Intent: FAQ, order status, upsell, booking demo <br>• Live-agent fallback (Zendesk) | • CSAT ≥ 4.5/5 <br>• Deflection ≥ 60 % | Dialogflow CX, WhatsApp Cloud API, OpenAI GPT-4o, Twilio Voice | Persona & tone sesuai brand guide Modul 2 | Bot flowchart + training set (.json) | Screenshot chat + analytics panel |
| **3. Lead Scoring & Lifecycle Automation** | Skor & segmentasi otomatis | • Fit (profile) × Engagement (behaviour) <br>• Trigger drip e-mail/SMS/WA | • MQL→SQL conv. ↑ 20 % <br>• Avg. time-to-first-contact ≤ 5 m | HubSpot Workflows, Customer.io, Python scoring script | Model direvisi bulanan via GA4 events | Scoring model sheet + automation rules | Grafik funnel & heat-map skor |
| **4. Omnichannel Campaign Sequencer** | Kirim e-mail, SMS, WA, push | • Personalised merge-tags ({{first name}}) <br>• A/B subject & send-time | • OR ≥ 35 % <br>• CTR ≥ 8 % | Customer.io, Sendgrid, Twilio, WA Cloud API | Kalender konten di-pull dari Modul 3 | 90-day journey canvas (.png) + CSV send logs | Screenshot journey builder |
| **5. Loyalty Program Automation** | Poin, tier, voucher, birthday perk | • Earn = 1 pt/Rp10k <br>• Tier Silver / Gold / Platinum | • Repeat purchase ↑ 25 % <br>• Redemption rate ≥ 15 % | Smile.io, Talon.One, Firebase Functions | Cron job kudos setiap transaksi | Rules doc (PDF) + points ledger (CSV) | UI mock-up wallet & voucher |
| **6. Affiliate & Referral System** | Rekrut & kelola sales affiliate | • Auto-generate link + UTM <br>• Commission rules tiered (10 %→15 %) | • New rev via affiliate ≥ 20 % total <br>• Fraud ≤ 1 % | Tapfiliate, ReferralCandy, Bitly API, Wise Payout | Sinkron coupon list Modul 4 Ads | Affiliate portal URL + payout report | Dashboard komisi & ranking top referrer |
| **7. Churn Prediction & Win-Back** | ML deteksi risiko churn & trigger penawaran | • XGBoost model (RFM features) <br>• Send discount/loyalty push | • Churn ↓ 15 % <br>• Win-back ↑ 10 % | BigQuery ML, Looker Alert, Customer.io | Retrain tiap Q dengan data baru | Model notebook + alert rule | ROC curve + contoh alert Slack |
| **8. Feedback / NPS Loop** | Survey otomatis paska-pembelian | • E-mail + WA link, 3-step NPS <br>• Sentiment analysis open text | • NPS ≥ 50 <br>• Response rate ≥ 25 % | Typeform API, Google Cloud NLP, Slack webhook | Negatif < 7 → tiket Zendesk | NPS dashboard + CSV verbatim | Pie chart NPS & word-cloud |
| **9. 360° Customer Health Dashboard** | Gabungkan KPI semua layanan | • Metrics: LTV, ARPU, churn, loyalty pts, affiliate rev | • Data latency ≤ 1 h <br>• Uptime ≥ 99 % | Looker Studio, BigQuery, Grafana | Feed ke report eksekutif bulanan | Live dashboard link + PDF export | Screenshot dashboard KPI hijau/merah |
| **10. Compliance & Data-Privacy Guardrails** | Otomasi consent & GDPR/PDPA log | • Double-opt-in, data-retention timer <br>• Anonymise on delete request | • Compliance audit issues = 0 | OneTrust, AWS Macie, Lambda Cron | Integrasi log ke legal archive S3 | Consent ledger (CSV) + policy doc | Diagram lifecycle data & anonymise flow |
